N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
157,한화에어로스페이스,"28,000",300,+1.08%,"5,000","14,176","50,630",18.19,"299,048",19.64,5.45,
158,롯데정밀화학,"54,800","1,500",+2.81%,"5,000","14,138","25,800",22.93,"112,313",8.26,11.73,
159,KODEX 레버리지,"21,545",770,+3.71%,0,"14,090","65,400",3.66,"61,296,374",N/A,N/A,
160,메리츠금융지주,"10,500",100,+0.96%,500,"14,071","134,011",8.33,"246,984",3.02,15.26,
161,영원무역,"31,750",400,+1.28%,500,"14,069","44,311",23.73,"140,296",8.59,9.82,
162,KODEX 200TR,"12,160",210,+1.76%,0,"14,027","115,350",0.06,"257,262",N/A,N/A,
163,NHN,"71,500",0,0.00%,500,"13,989","19,565",11.26,"58,799",47.63,0.78,
164,한전KPS,"30,650",200,+0.66%,200,"13,792","45,000",11.45,"397,713",11.38,14.98,
165,KODEX 삼성그룹,"9,380",165,+1.79%,0,"13,742","146,500",0.03,"793,455",N/A,N/A,
166,한국테크놀로지그룹,"14,350",100,+0.70%,500,"13,348","93,020",6.73,"316,393",11.98,4.71,
167,현대위아,"47,700",450,+0.95%,"5,000","12,972","27,195",11.71,"154,033",10.31,1.80,
168,F&F,"83,400",500,+0.60%,500,"12,844","15,400",10.12,"51,388",14.74,25.13,
169,SK디스커버리,"64,800",300,+0.47%,"5,000","12,337","19,038",9.52,"74,939",4.26,11.52,
170,DGB금융지주,"7,290",80,+1.11%,"5,000","12,331","169,146",46.70,"645,829",3.72,7.31,
171,일양약품,"63,500",200,-0.31%,"2,500","12,119","19,086",7.86,"724,866",117.38,5.20,
172,이노션,"60,500","1,500",+2.54%,500,"12,100","20,000",29.11,"45,274",18.84,9.88,
173,SK네트웍스,"4,785",70,+1.48%,"2,500","11,876","248,188",12.11,"704,806",-20.71,-5.85,
174,KODEX 코스닥150 레버리지,"15,850",345,+2.23%,0,"11,777","74,300",1.63,"37,120,544",N/A,N/A,
175,대한전선,"1,365",15,+1.11%,500,"11,691","856,473",2.08,"10,506,527",-75.83,-3.99,
176,JB금융지주,"5,870",50,-0.84%,"5,000","11,563","196,983",38.84,"743,795",3.34,10.36,
177,KBSTAR 200,"37,910",770,+2.07%,0,"11,411","30,100",0.04,"333,958",N/A,N/A,
178,신세계인터내셔날,"159,500","2,500",+1.59%,"5,000","11,388","7,140",4.87,"42,948",25.26,12.98,
